total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
97792.03,830.40,96961.63,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '830.40', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
98234.25,0.00,98234.25,USD,CRYPTO-001,MARGIN,USD,[],False,{}
98231.43,986.16,97245.27,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '986.16', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
97162.56,0.00,97162.56,USD,CRYPTO-001,MARGIN,USD,[],False,{}
97158.68,1358.91,95799.77,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '1358.91', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
98043.34,0.00,98043.34,USD,CRYPTO-001,MARGIN,USD,[],False,{}
98038.57,1670.21,96368.36,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '1670.21', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
91308.60,0.00,91308.60,USD,CRYPTO-001,MARGIN,USD,[],False,{}
91297.11,4021.68,87275.43,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '4021.68', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
91020.68,0.00,91020.68,USD,CRYPTO-001,MARGIN,USD,[],False,{}
91009.45,3928.86,87080.59,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '3928.86', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
92830.34,0.00,92830.34,USD,CRYPTO-001,MARGIN,USD,[],False,{}
92820.94,3288.25,89532.69,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '3288.25', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
91746.71,0.00,91746.71,USD,CRYPTO-001,MARGIN,USD,[],False,{}
91738.38,2915.19,88823.19,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '2915.19', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
91617.56,0.00,91617.56,USD,CRYPTO-001,MARGIN,USD,[],False,{}
91609.12,2954.52,88654.60,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '2954.52', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
90481.35,0.00,90481.35,USD,CRYPTO-001,MARGIN,USD,[],False,{}
90474.03,2562.36,87911.67,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '2562.36', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
91035.20,0.00,91035.20,USD,CRYPTO-001,MARGIN,USD,[],False,{}
91028.45,2363.59,88664.86,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '2363.59', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
91153.09,0.00,91153.09,USD,CRYPTO-001,MARGIN,USD,[],False,{}
91146.21,2409.62,88736.59,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '2409.62', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
91768.35,0.00,91768.35,USD,CRYPTO-001,MARGIN,USD,[],False,{}
91762.09,2189.68,89572.41,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '2189.68', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
89168.96,0.00,89168.96,USD,CRYPTO-001,MARGIN,USD,[],False,{}
89165.29,1283.37,87881.92,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '1283.37', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
82565.75,0.00,82565.75,USD,CRYPTO-001,MARGIN,USD,[],False,{}
82555.49,3589.62,78965.87,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '3589.62', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
84093.27,0.00,84093.27,USD,CRYPTO-001,MARGIN,USD,[],False,{}
84081.46,4131.98,79949.48,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '4131.98', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
86148.06,0.00,86148.06,USD,CRYPTO-001,MARGIN,USD,[],False,{}
86138.33,3405.26,82733.07,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '3405.26', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
85644.74,0.00,85644.74,USD,CRYPTO-001,MARGIN,USD,[],False,{}
85635.50,3235.74,82399.76,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '3235.74', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
86379.99,0.00,86379.99,USD,CRYPTO-001,MARGIN,USD,[],False,{}
86371.50,2972.20,83399.30,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '2972.20', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
85640.96,0.00,85640.96,USD,CRYPTO-001,MARGIN,USD,[],False,{}
85633.19,2719.23,82913.96,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '2719.23', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
84051.36,0.00,84051.36,USD,CRYPTO-001,MARGIN,USD,[],False,{}
84042.02,3269.60,80772.42,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '3269.60', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
81964.82,0.00,81964.82,USD,CRYPTO-001,MARGIN,USD,[],False,{}
81957.55,2545.12,79412.43,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '2545.12', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
80174.89,0.00,80174.89,USD,CRYPTO-001,MARGIN,USD,[],False,{}
80165.84,3165.89,76999.95,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '3165.89', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
80485.97,0.00,80485.97,USD,CRYPTO-001,MARGIN,USD,[],False,{}
80476.60,3281.21,77195.39,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '3281.21', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
78473.98,0.00,78473.98,USD,CRYPTO-001,MARGIN,USD,[],False,{}
78462.61,3978.15,74484.46,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '3978.15', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
78149.87,0.00,78149.87,USD,CRYPTO-001,MARGIN,USD,[],False,{}
78138.81,3872.56,74266.25,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '3872.56', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
35243.27,0.00,35243.27,USD,CRYPTO-001,MARGIN,USD,[],False,{}
35189.36,18867.13,16322.23,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '18867.13', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
21461.53,0.00,21461.53,USD,CRYPTO-001,MARGIN,USD,[],False,{}
21421.31,14076.47,7344.84,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '14076.47', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
29931.42,0.00,29931.42,USD,CRYPTO-001,MARGIN,USD,[],False,{}
29899.74,11086.84,18812.90,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '11086.84', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
33537.89,0.00,33537.89,USD,CRYPTO-001,MARGIN,USD,[],False,{}
33502.54,12372.57,21129.97,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '12372.57', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
22715.25,0.00,22715.25,USD,CRYPTO-001,MARGIN,USD,[],False,{}
22669.16,16131.99,6537.17,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '16131.99', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
28041.07,0.00,28041.07,USD,CRYPTO-001,MARGIN,USD,[],False,{}
27989.56,18030.18,9959.38,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '18030.18', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
22505.29,0.00,22505.29,USD,CRYPTO-001,MARGIN,USD,[],False,{}
22448.35,19929.75,2518.60,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '19929.75', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
9302.66,0.00,9302.66,USD,CRYPTO-001,MARGIN,USD,[],False,{}
9258.82,9258.82,0.00,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '15344.10', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
13537.69,0.00,13537.69,USD,CRYPTO-001,MARGIN,USD,[],False,{}
13498.17,13498.17,0.00,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '13832.67', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
5670.93,0.00,5670.93,USD,CRYPTO-001,MARGIN,USD,[],False,{}
5639.20,5639.20,0.00,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '11104.24', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
10576.18,0.00,10576.18,USD,CRYPTO-001,MARGIN,USD,[],False,{}
10549.42,9366.93,1182.49,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '9366.93', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
6249.97,0.00,6249.97,USD,CRYPTO-001,MARGIN,USD,[],False,{}
6227.48,6227.48,0.00,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '7869.99', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
7814.74,0.00,7814.74,USD,CRYPTO-001,MARGIN,USD,[],False,{}
7793.86,7307.14,486.72,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '7307.14', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
9264.39,0.00,9264.39,USD,CRYPTO-001,MARGIN,USD,[],False,{}
9242.02,7829.66,1412.36,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '7829.66', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
13052.66,0.00,13052.66,USD,CRYPTO-001,MARGIN,USD,[],False,{}
13034.12,6489.44,6544.68,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '6489.44', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
11644.25,0.00,11644.25,USD,CRYPTO-001,MARGIN,USD,[],False,{}
11627.08,6009.00,5618.08,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '6009.00', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
12339.53,0.00,12339.53,USD,CRYPTO-001,MARGIN,USD,[],False,{}
12323.09,5753.89,6569.20,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '5753.89', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
12957.46,0.00,12957.46,USD,CRYPTO-001,MARGIN,USD,[],False,{}
12940.37,5981.90,6958.47,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '5981.90', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
8190.65,0.00,8190.65,USD,CRYPTO-001,MARGIN,USD,[],False,{}
8168.83,7636.66,532.17,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '7636.66', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
10633.32,0.00,10633.32,USD,CRYPTO-001,MARGIN,USD,[],False,{}
10609.01,8507.74,2101.27,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '8507.74', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
13177.05,0.00,13177.05,USD,CRYPTO-001,MARGIN,USD,[],False,{}
13155.33,7601.33,5554.00,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '7601.33', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
18833.76,0.00,18833.76,USD,CRYPTO-001,MARGIN,USD,[],False,{}
18806.34,9598.38,9207.96,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '9598.38', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
20444.41,0.00,20444.41,USD,CRYPTO-001,MARGIN,USD,[],False,{}
20418.65,9016.04,11402.61,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '9016.04', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
22957.71,0.00,22957.71,USD,CRYPTO-001,MARGIN,USD,[],False,{}
22929.38,9914.62,13014.76,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '9914.62', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
21370.45,0.00,21370.45,USD,CRYPTO-001,MARGIN,USD,[],False,{}
21340.59,10449.80,10890.79,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '10449.80', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
18667.94,0.00,18667.94,USD,CRYPTO-001,MARGIN,USD,[],False,{}
18640.73,9523.89,9116.84,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '9523.89', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
6304.97,0.00,6304.97,USD,CRYPTO-001,MARGIN,USD,[],False,{}
6265.46,6265.46,0.00,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '13827.58', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
12014.36,0.00,12014.36,USD,CRYPTO-001,MARGIN,USD,[],False,{}
11969.06,11969.06,0.00,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '15855.55', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
-6614.66,-6614.66,0.00,USD,CRYPTO-001,MARGIN,USD,[],False,{}
-6678.48,-6678.48,0.00,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '22337.51', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
-4298.73,-4298.73,0.00,USD,CRYPTO-001,MARGIN,USD,[],False,{}
-4365.00,-4365.00,0.00,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '23193.62', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
-4174.61,-4174.61,0.00,USD,CRYPTO-001,MARGIN,USD,[],False,{}
-4240.62,-4240.62,0.00,USD,CRYPTO-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '23103.88', 'currency': 'USD', 'instrument_id': 'BTCUSD.CRYPTO'}]",False,{}
-5446.43,-5446.43,0.00,USD,CRYPTO-001,MARGIN,USD,[],False,{}
