USERID,SYMBOL,EXCHANGE,TRANSACTION,QUANTITY,LOTS,MULTIPLIER,OrderID,ENTRY TIME,ENTRY PRICE,ENTRY REASON,OPTION TYPE,STRIKE,PORTFOLIO NAME,STRATEGY,EXIT TIME,AVG EXIT PRICE,EXIT REASON,PNL,_IS_HEDGE,_PARENT_ID
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-65784e3c-815f-4f24-bfcc-389ce546a706,13-07-2017 00:00:00,2357.9,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,30-07-2017 00:00:00,2757.18,Strategy Signal,394.16,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-116d8823-625b-4ab2-ab09-0ea807f717a8,13-12-2024 00:00:00,101459.25,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,14-12-2024 00:00:00,101372.97,Strategy Signal,-116.55,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-fef7c80c-8c4e-4586-b9ad-8bf9d32e3022,14-01-2022 00:00:00,43099.7,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,26-01-2022 00:00:00,36852.12,Strategy Signal,6167.63,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-86caf400-bd5b-4272-adf3-d245999df1cf,14-07-2020 00:00:00,9243.21,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,20-07-2020 00:00:00,9164.23,Strategy Signal,60.58,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-0335e68e-c29d-4852-b257-73f38acf5738,14-07-2021 00:00:00,32822.35,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,08-08-2021 00:00:00,43798.12,Strategy Signal,-11052.39,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-67a520a6-bcab-45b7-8d9e-1709e2138a19,14-09-2022 00:00:00,20241.09,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,23-09-2022 00:00:00,19297.64,Strategy Signal,903.91,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-5703b102-60bb-4157-85f3-dc9182e7dadf,14-09-2024 00:00:00,60005.12,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,03-10-2024 00:00:00,60759.4,Strategy Signal,633.51,False,
UID001,BTCUSD,CRYPTO,SELL,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-19d0613e-e462-4100-a17a-7e9695e31aa3,14-10-2020 00:00:00,11429.51,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,25-10-2020 00:00:00,13031.17,Strategy Signal,-1626.12,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-0a9e7e29-6320-4d4c-880e-ed7669a59f7b,14-12-2022 00:00:00,17652.1,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,22-12-2022 00:00:00,16830.34,Strategy Signal,-856.24,False,
UID001,BTCUSD,CRYPTO,BUY,1.0,1.0,1.0,BTCUSD.CRYPTO-DecoyStrategy-000-75273a85-421d-431a-b225-4d0b40109570,15-01-2020 00:00:00,8807.01,Strategy Signal,,,Decoy_Long_Decoy_Short,Decoy_Long_Decoy_Short,24-01-2020 00:00:00,8445.43,Strategy Signal,-378.84,False,
